"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"16";"231";"Lise";"Sundli";"F";"NOR";"Sokna IL";"NC Fellesstart Senior, 10.01.2016";"K19";"35:07.0";"5:15.0";"2016-01-10T11:50:07.0000000";"";""
"17";"243";"Emma";"Höglund";"F";"SWE";"";"NC Fellesstart Senior, 10.01.2016";"K19";"35:21.8";"5:29.8";"2016-01-10T11:51:51.8000000";"";""
"18";"233";"Julie Kloster";"Snekkevik";"F";"NOR";"Tromsø Skiskytterlag / NTG-T";"NC Fellesstart Senior, 10.01.2016";"K19";"35:33.9";"5:41.9";"2016-01-10T11:50:33.9000000";"";""
"19";"226";"Anna Kristine";"Størseth";"F";"NOR";"Meråker Skiskytterklubb / Meråker Videregående skole";"NC Fellesstart Senior, 10.01.2016";"K19";"36:11.8";"6:19.8";"2016-01-10T11:51:11.8000000";"";""
"20";"224";"Ann Vilde";"Kristensen";"F";"NOR";"Sandnes Skiskytterlag / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K19";"36:16.9";"6:24.9";"2016-01-10T11:51:16.9000000";"";""
"21";"227";"Silje Marie";"Hage";"F";"NOR";"Gjesdal Skiskytterlag / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K19";"37:15.3";"7:23.3";"2016-01-10T11:52:15.3000000";"";""
"22";"245";"Mikaela";"Eriksen";"F";"SWE";"";"NC Fellesstart Senior, 10.01.2016";"K19";"37:24.7";"7:32.7";"2016-01-10T11:53:54.7000000";"";""
"23";"239";"Tiril Emilie Ruud";"Bråten";"F";"NOR";"Fet SK";"NC Fellesstart Senior, 10.01.2016";"K19";"38:17.3";"8:25.3";"2016-01-10T11:53:17.3000000";"";""
"24";"237";"Synne";"Nesse";"F";"NOR";"Fet SK";"NC Fellesstart Senior, 10.01.2016";"K19";"38:37.6";"8:45.6";"2016-01-10T11:53:37.6000000";"";""
"25";"229";"Hanne";"Bjørsvik";"F";"NOR";"Molde og Omegn IF";"NC Fellesstart Senior, 10.01.2016";"K19";"38:46.5";"8:54.5";"2016-01-10T11:53:46.5000000";"";""
"26";"238";"Emilie";"Melås";"F";"NOR";"Drangedal Idrettslag / Team TeVe";"NC Fellesstart Senior, 10.01.2016";"K19";"39:59.8";"10:07.8";"2016-01-10T11:54:59.8000000";"";""
"1";"154";"Ingrid Landmark";"Tandrevold";"F";"NOR";"Fossum IF";"NC Fellesstart Senior, 10.01.2016";"K20-21";"38:21.4";"0:00.0";"2016-01-10T11:08:21.4000000";"";""
"2";"152";"Anne Marit";"Bredalen";"F";"NOR";"Åsnes Skiskytterlag / Team Bardøla";"NC Fellesstart Senior, 10.01.2016";"K20-21";"39:19.8";"0:58.4";"2016-01-10T11:09:19.8000000";"";""
"3";"161";"Hilde";"Eide";"F";"NOR";"Øystre Slidre SSL / Meråker Videregående skole";"NC Fellesstart Senior, 10.01.2016";"K20-21";"39:38.0";"1:16.6";"2016-01-10T11:09:38.0000000";"";""
"4";"155";"Ragnhild";"Femsteinevik";"F";"NOR";"Hålandsdal IL / Team Glalaks";"NC Fellesstart Senior, 10.01.2016";"K20-21";"39:53.0";"1:31.6";"2016-01-10T11:09:53.0000000";"";""
"5";"157";"Jenny";"ENODD";"F";"NOR";"Budal IL / Team Statkraft Midt-Norge";"NC Fellesstart Senior, 10.01.2016";"K20-21";"40:00.8";"1:39.4";"2016-01-10T11:10:00.8000000";"";""
"6";"159";"Lotte";"Lie";"F";"NOR";"Skatval Skilag";"NC Fellesstart Senior, 10.01.2016";"K20-21";"40:17.1";"1:55.7";"2016-01-10T11:10:17.1000000";"";""
"7";"153";"Eline";"Grue";"F";"NOR";"Kvikne IL";"NC Fellesstart Senior, 10.01.2016";"K20-21";"40:35.8";"2:14.4";"2016-01-10T11:10:35.8000000";"";""
"8";"164";"Kristin Våga";"Fløttum";"F";"NOR";"Skaun IL / Heimdal VGS";"NC Fellesstart Senior, 10.01.2016";"K20-21";"40:52.1";"2:30.7";"2016-01-10T11:10:52.1000000";"";""
"9";"163";"Ida Emilie";"Herfoss";"F";"NOR";"Drangedal Idrettslag";"NC Fellesstart Senior, 10.01.2016";"K20-21";"41:18.6";"2:57.2";"2016-01-10T11:11:18.6000000";"";""
"10";"158";"Gunhild Viljugrein";"Stølen";"F";"NOR";"Bærums Skiklub / Team Statkraft Midt-Norge";"NC Fellesstart Senior, 10.01.2016";"K20-21";"41:31.0";"3:09.6";"2016-01-10T11:11:31.0000000";"";""
